id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
7697,2020,DM7,D?t may 7,UPCOM,0,0.38,0.78,1.21,0,0,0,0,1.32,0.57,1.32,0.57,2.32,0,2.17,2.17,0.43,0.12,0.43,101.71,2.32,32.52,0.04,0.39,0.63,3.04
9365,2019,NUE,Môi tr??ng ?ô th? Nha Trang,UPCOM,0,1.15,1.91,1.94,0.03,0.02,0.04,0.02,0.59,0.34,0.75,0.43,1.75,32.89,8.93,8.93,0.79,0.27,0.79,55.2,5.2,10.38,0.05,0.61,1.37,1.03
10425,2018,STS,D?ch v? v?n t?i Sài G?n,UPCOM,0,1.29,3.38,3.4,0,0,0,0,0.31,0.23,0.31,0.24,1.31,0,3.4,3.4,0.48,1.08,0.57,38.42,2.23,4.44,0.03,-0.02,-0.03,4117
10472,2017,T12,Th??ng m?i d?ch v? Tràng Thi,UPCOM,0,0.49,3.87,4.89,0,0,0.03,0.01,0.19,0.1,0.99,0.5,1.99,2.01,61.96,61.96,2.51,1.06,2.8,373.95,67.91,363.49,1.03,38.95,108.48,447
11376,2018,VTE,Vi?n thông ?i?n t? VINACAP,UPCOM,0,0.09,0.82,1.71,0,0,0.68,0.31,1.2,0.55,1.2,0.55,2.2,0.17,28.35,28.35,0.42,0.1,0.42,71.76,-17.04,160.51,0.23,7.77,11.22,162
996,2019,GIL,XNK B?nh Th?nh,HOSE,0,0.37,0.85,1.46,0,0,0.69,0.31,1.27,0.56,1.27,0.56,2.27,0.37,2.62,2.62,0.62,0.25,0.51,630,1.35,854.39,0.34,3.82,4.12,6689
1190,2013,HMC,Kim khí TP.HCM,HOSE,0,0.08,0.48,1.16,0.06,0.02,1.52,0.5,1.94,0.63,2.06,0.67,0,1071.43,10.37,10.37,0.64,0.07,0.87,216.3,-58.74,702.71,0.22,8.56,10.12,994
2823,2010,TLH,Thép Ti?n Lên,HOSE,0,0.32,0.41,1.5,0.02,0.01,0.83,0.38,1.17,0.53,1.19,0.54,0,2731.17,7.83,7.83,0.55,0.15,0.63,444.34,4.42,1085.5,0.36,6.7,7.27,983
3485,2017,ARM,XNK Hàng không,HNX,0,0.36,1.21,1.35,0,0,0.47,0.14,2.15,0.66,2.26,0.69,3.26,0.64,9.75,9.75,2.08,0.31,2.09,79.6,6.24,96.51,0.38,7.83,9.09,3149
3835,2017,CTB,B?m H?i D??ng,HNX,0,0.12,1.43,1.89,0,0,1.06,0.23,2.2,0.47,3.7,0.79,4.7,0.2,13.63,13.63,1.95,0.72,1.97,275.2,-0.79,352.02,0.92,11.49,15.97,2348
3983,2013,DL1,T?p ?oàn N?ng l??ng Tái t?o Vi?t Nam,HNX,0,0.18,5.25,6.49,0.01,0.01,0.01,0.01,0.09,0.06,0.11,0.08,0,0,8.5,8.5,0.56,1.23,0.56,23.42,42.83,23.53,1.23,4.31,6.34,964
